hotel_id,nome,fonte,old_destino_id,bracket_hints
220035,Mosque of Mrs. Aisha,geo_not_found,16953,
220036,Alkubisa Mosque,geo_not_found,16953,
220037,Quba Mosque,geo_not_found,16953,
220038,Mshawwah Mosque,geo_not_found,16953,
220039,Dream Mall,geo_not_found,16953,
419223,Faros Resort,hotel_centroid,16953,
419224,Syros Atlantis Hotel,local,16953,
256305,Golani Trail,geo_not_found,19245,
256306,[[Golan Trail]],geo_not_found,19245,Golan Trail
256311,Golan,geo_not_found,19245,
256317,Har HaNegev Field School,geo_not_found,19245,
256319,Northern Command,geo_not_found,19245,
256320,Central Command,geo_not_found,19245,
256321,Southern Command,geo_not_found,19245,
258974,Alojamento 255597,local,19522,
258975,Alojamento 255598,local,19522,
258976,Alojamento 255599,local,19522,
258977,Alojamento 255600,local,19522,
258978,Alojamento 255601,local,19522,
261348,Berlin Marathon,gmaps_not_found,19740,
261349,Boston Marathon,gmaps_not_found,19740,
261350,Chicago Marathon,gmaps_not_found,19740,
261351,London Marathon,gmaps_not_found,19740,
261352,New York City Marathon,gmaps_not_found,19740,
261353,Tokyo Marathon,gmaps_not_found,19740,
261354,Amsterdam Marathon,gmaps_not_found,19740,
261355,Barcelona Marathon,gmaps_not_found,19740,
261356,Beijing Marathon,gmaps_not_found,19740,
261357,Dubai Marathon,gmaps_not_found,19740,
261358,Finlandia Marathon,gmaps_not_found,19740,
261359,Helsinki City Marathon,gmaps_not_found,19740,
261360,Hong Kong Marathon,gmaps_not_found,19740,
261361,Istanbul Marathon,gmaps_not_found,19740,
261362,Mexico City International Marathon,gmaps_not_found,19740,
261363,Osaka Marathon,gmaps_not_found,19740,
261364,Paavo Nurmi Marathon,gmaps_not_found,19740,
261365,Paris Marathon,gmaps_not_found,19740,
261366,Prague Marathon,gmaps_not_found,19740,
261367,Maraton do Rio,gmaps_not_found,19740,
261368,Rome Marathon,gmaps_not_found,19740,
261369,Rotterdam Marathon,gmaps_not_found,19740,
261370,Shanghai Marathon,gmaps_not_found,19740,
261371,Sydney Marathon,gmaps_not_found,19740,
261372,Xiamen International Marathon,gmaps_not_found,19740,
262292,Maralinga atomic test site,local,19874,
262302,"Hanford Site near [[Richland]], Washington, USA",local,19874,Richland
262304,Memorial complex of Obninsk Nuclear Power Plant,local,19874,
262309,"National Museum of Nuclear Science & History in [[Albuquerque]], USA",local,19874,Albuquerque
262310,"Savannah River Site, South Carolina, USA",local,19874,
262320,TRIGA Mark I,local,19874,
262324,The Ignalina Nuclear Power Plant,local,19874,
262325,Bataan Nuclear Power Plant,local,19874,
262326,Kalkar,local,19874,
262327,Zwentendorf Nuclear Power Plant,local,19874,
262328,"Żarnowiec, [[Poland]]",local,19874,Poland
267387,Israeli Meteorological Service,hotel_centroid,20269,
267388,Kofi Annan,local,20269,
425999,The White Lion Inn,hotel_centroid,20269,
426000,Holiday Inn Ellesmere Port,hotel_centroid,20269,
279326,Hamlet and Susan,local,21218,
279327,Ira,hotel_centroid,21218,
279328,Artur and Sveta,local,21218,
279329,Nikolai,hotel_centroid,21218,
279330,Vardan,local,21218,
279331,Armo,hotel_centroid,21218,
279332,Aro,hotel_centroid,21218,
279333,Officer Samvel,hotel_centroid,21218,
279334,Samvel the younger,hotel_centroid,21218,
279335,Tiko,hotel_centroid,21218,
279336,Vasak and Tatevik,local,21218,
279337,Henrikh and Madlen Stepanian,local,21218,
279338,Mardik sister,hotel_centroid,21218,
279339,Surik and Zamira Hayrapetian,local,21218,
279341,Guesthouse Nadejda,hotel_centroid,21218,
279342,Ulmar,hotel_centroid,21218,
279343,Alvart Dadayan,local,21218,
279344,Gago,hotel_centroid,21218,
279345,Nver Dadayan,local,21218,
279346,Albert and Laura,local,21218,
279347,Armen and Luisa,local,21218,
279348,Elmira (Emma) Hairapetian,local,21218,
279349,Suren,hotel_centroid,21218,
279350,Artur and Anahit Babayan,local,21218,
279351,Onnik and Amalia Balassanian,local,21218,
279352,Sergey and Nadia Harutyunian,local,21218,
279353,Narimon House,hotel_centroid,21218,
279354,Artush Mangasaryan,local,21218,
279355,Gagik Zakharyan,local,21218,
279356,Fedya Ohanyan,local,21218,
279357,Valo and Mareta Ohanyan,local,21218,
279358,Vano (Vanya) and Nurvard,local,21218,
279359,Vazgen and Dzovinar Baghdasarian,local,21218,
279360,Ara and Inga Adamian,local,21218,
279361,Elmard and Hranush (Sonia) Sarafian,local,21218,
279362,Vova and Alina Begnazarian,local,21218,
279363,Gegham Badalyan,local,21218,
279364,Hayk and Mrs. Alvart Danielian,local,21218,
279365,Lova and Mrs. Maret,local,21218,
280875,Jarðböðin við [[Mývatn]],gmaps_not_found,21360,Mývatn
280876,Grettislaug & Jarlslaug,gmaps_not_found,21360,
427792,Tanums Camping & Stugby,gmaps_not_found,21360,
282532,[[Qingdao]],gmaps_not_found,21496,Qingdao
282533,[[Brest (Belarus),gmaps_not_found,21496,
282534,[[Ypres]],gmaps_not_found,21496,Ypres
282535,[[Sarajevo]],gmaps_not_found,21496,Sarajevo
282536,[[Verdun]],gmaps_not_found,21496,Verdun
282537,Vimy Ridge,gmaps_not_found,21496,
282538,Forest of [[Compiègne]],gmaps_not_found,21496,Compiègne
282539,Lochnagar mine,gmaps_not_found,21496,
282540,[[Kiel]],gmaps_not_found,21496,Kiel
282541,Manfred von Richthofen's grave,gmaps_not_found,21496,
282542,Battle of Tannenberg,gmaps_not_found,21496,
282543,[[Gallipoli]],gmaps_not_found,21496,Gallipoli
282544,Historial of the Great War Péronne,gmaps_not_found,21496,
282545,Historial of the Great War Thiepval,gmaps_not_found,21496,
282546,Somme Trench Museum,gmaps_not_found,21496,
282547,Museum of the Great War Pays de Meaux,gmaps_not_found,21496,
282548,U.S. National WWI Museum and Memorial,gmaps_not_found,21496,
282549,Fort Wohlgemuth & World War I Museum,gmaps_not_found,21496,
282550,First World War Chinese Laborers Memorial,gmaps_not_found,21496,
284661,"Great Salt Lake, [[Utah]]",local,21626,Utah
284662,[[La Macarena]],hotel_centroid,21626,La Macarena
284663,Western Lake Erie,hotel_centroid,21626,
428217,Hotel Herzogs Park,hotel_centroid,21626,
428218,Hotel Krone,hotel_centroid,21626,
287739,Abdeen Palace,hotel_centroid,21867,
287740,Ras el Tin Palace,hotel_centroid,21867,
287741,Menelik Palace,hotel_centroid,21867,
287742,Fasil Ghebbi,hotel_centroid,21867,
287743,Forbidden City,hotel_centroid,21867,
287744,Gyeongbokgung,hotel_centroid,21867,
287745,Changdeokgung,hotel_centroid,21867,
287746,Topkapı Palace,hotel_centroid,21867,
287747,Dolmabahçe Palace,hotel_centroid,21867,
287748,Narayanhiti Palace,local,21867,
287749,Mysore Palace,hotel_centroid,21867,
287750,Red Fort,hotel_centroid,21867,
287751,Royal Palace of Kandy,hotel_centroid,21867,
287752,[[Isfahan#Palaces,hotel_centroid,21867,
287753,[[Samarkand#Q1373583,local,21867,
287754,"Royal Palace, Luang Prabang",hotel_centroid,21867,
287755,Potala Palace,hotel_centroid,21867,
287756,[[Babylon]],hotel_centroid,21867,Babylon
287757,Schloss Neuschwanstein,hotel_centroid,21867,
287758,Potsdam and Berlin,hotel_centroid,21867,
287759,Palace of Versailles,hotel_centroid,21867,
287760,Palace of Fontainebleau,hotel_centroid,21867,
287761,Moscow Kremlin,hotel_centroid,21867,
287762,Peterhof Palace,hotel_centroid,21867,
287763,State Hermitage Museum,hotel_centroid,21867,
287764,Catherine Palace,hotel_centroid,21867,
287765,Royal Castle of Warsaw,local,21867,
287766,[[Kraków/Old Town,hotel_centroid,21867,
287767,Hofburg,hotel_centroid,21867,
287768,[[Budapest/Budavár,local,21867,
287769,[[Prague/Castle and Lesser Town,hotel_centroid,21867,
287770,Royal Palace of Turin,hotel_centroid,21867,
287771,Quirinal Palace,hotel_centroid,21867,
287772,Palazzo Pitti,hotel_centroid,21867,
287773,Royal Palace of Caserta,hotel_centroid,21867,
287774,Dresden Castle,hotel_centroid,21867,
